Instruction_type,Instruction,PCSrc,ResultSrc,MemWrite,ALUControl,ALUSrc,ImmSrc,RegWrite
R-Type,ADD,00,00,0,010,0,X,1
R-Type,SUB,00,00,0,110,0,X,1
R-Type,SLTU,00,00,0,100,0,X,1
R-Type,SLT,00,00,0,111,0,X,1
R-Type,OR,00,00,0,001,0,X,1
R-Type,AND,00,00,0,000,0,X,1
I-Type,LW,00,01,0,010,1,000,1
I-Type,ADDI,00,00,0,010,1,000,1
I-Type,SLTUI,00,00,0,100,1,000,1
I-Type,SLTI,00,00,0,111,1,000,1
I-Type,XORI,00,00,0,011,1,000,1
I-Type,ORI,00,00,0,001,1,000,1
S-Type,SW,00,00,1,010,1,XXX,0
J-Type,JALR,10,10,0,010,1,000,1
J-Type,JAL,01,10,0,010,0,011,1
B-Type,BEQ,00,00,0,XXX,0,010,0
B-Type,BNE,01,00,0,XXX,0,010,0
B-Type,BLT,00,00,0,XXX,0,001,0
B-Type,BGE,00,00,0,XXX,0,000,0
U-Type,LUI,00,11,0,XXX,1,100,1
