Instruction_type,Instruction,op,func3,regWriteD,ALUOp,resultSrcD,memWriteD,jumpD,branchD,ALUSrcD,immSrcD,luiD
R-Type,Any,0110011,XXX,1,10,00,0,00,000,0,000,0
I-Type,Any,0010011,XXX,1,11,00,0,00,000,1,000,0
S-Type,Any,0100011,XXX,0,00,00,1,00,000,1,001,0
B-Type,BEQ,1100011,000,0,01,00,0,00,001,0,010,0
B-Type,BNE,1100011,001,0,01,00,0,00,010,0,010,0
B-Type,BLT,1100011,010,0,01,00,0,00,011,0,010,0
B-Type,BGE,1100011,011,0,01,00,0,00,100,0,010,0
U-Type,Any,0110111,XXX,1,00,11,0,00,000,0,100,1
J-Type,Any,1101111,XXX,1,00,10,0,01,000,0,011,0
I-Type,LW,0000011,XXX,1,00,01,0,00,000,1,000,0
UJ-Type,JALR,1100111,XXX,1,00,10,0,10,000,1,000,0
