Condition,Rs1D,Rs2D,RdE,RdM,RdW,Rs1E,Rs2E,PCSrcE,resultSrc0,regWriteM,regWriteW,luiM,forwardAE,forwardBE,stallF,stallD,flushD,flushE
Rs1E == 0,XXX,XXX,XXX,XXX,XXX,XXXXX,XXXXX,XX,X,X,X,X,00,XX,0,0,0,0
Rs1E == RdM && regWriteM,XXX,XXX,XXX,RdM,XXX,RdM,XXXXX,XX,X,1,X,0,10 or 11,XX,0,0,0,0
Rs1E == RdW && regWriteW,XXX,XXX,XXX,XXX,RdW,RdW,XXXXX,XX,X,X,1,0,01,XX,0,0,0,0
Rs2E == 0,XXX,XXX,XXX,XXX,XXX,XXXXX,XXXXX,XX,X,X,X,X,XX,00,0,0,0,0
Rs2E == RdM && regWriteM,XXX,XXX,XXX,RdM,XXX,XXXXX,RdM,XX,X,1,X,0,XX,10 or 11,0,0,0,0
Rs2E == RdW && regWriteW,XXX,XXX,XXX,XXX,RdW,XXXXX,RdW,XX,X,X,1,0,XX,01,0,0,0,0
lwStall == 1,Rs1D,Rs2D,RdE,XXX,XXX,XXXXX,XXXXX,XX,1,XXX,XXX,XXX,XX,XX,1,1,0,1
PCSrcE != 2'b00,XXX,XXX,XXX,XXX,XXX,XXXXX,XXXXX,XX,XXX,XXX,XXX,XXX,XX,XX,0,0,1,1
default,XXX,XXX,XXX,XXX,XXX,XXXXX,XXXXX,00,XXX,XXX,XXX,XXX,00,00,0,0,0,0
